code,name,industry,text_score,categories_hit_count,np_yoy,revenue_yoy,gross_margin,pe_ttm,pe_dynamic,pe_method,peg,drr,drgs,ibr,arr,order_backlog_score,filter_pass,price_index_1y_high,contract_liability_yoy,price_above_ma60,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value
300620,光库科技,通信设备,2.60,2,186.1,72.9,38.8,259.0,238.5,动态(中报×2),1.39,0.004,-124.3,4.4,-9.2,9.2,否(经营现金流同比恶化),,-51.3,否,,,,,,186.090
688059,华锐精密,通用设备,3.00,2,178.3,19.7,55.8,35.6,17.7,动态(中报×2),0.20,0.034,334.1,125.6,-42.8,14.1,否(经营现金流同比恶化),,353.8,否,,,,,,178.320
000933,神火股份,工业金属,2.80,2,151.1,21.4,36.2,8.9,6.3,动态(中报×2),0.06,0.006,-45.8,20.9,7.6,9.8,是,,-24.4,是,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 泰康人寿保险有限责任公司-分红-个人分红-019L-FH002深[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险]; 泰康资产红利价值股票型养老金产品-中国工商银行股份有限公司[保险],161.060
603032,德新科技,电池,1.30,1,138.8,22.7,40.9,61.6,42.3,动态(中报×2),0.44,0.003,-88.6,39.8,-33.6,10.1,是,,-65.9,是,,,,,,138.810
000612,焦作万方,工业金属,2.80,2,129.6,25.4,37.8,7.5,5.4,动态(中报×2),0.06,0.004,41.8,-8.7,-48.9,9.0,是,,67.2,否,,,,,,129.580
300531,优博讯,计算机设备,1.20,1,114.3,32.9,26.2,40.6,28.3,动态(中报×2),0.36,0.054,37.5,18.7,-19.0,11.9,否(经营现金流同比恶化),,70.4,是,,,,是,高盛国际-自有资金[QFII],124.310
300511,雪榕生物,种植业,2.80,2,117.4,46.2,17.2,23.0,89.8,动态(中报×2),0.20,0.003,-96.2,-42.2,-10.0,8.0,是,,-49.9,否,,,,,,117.410
300037,新宙邦,电池,2.50,2,103.3,75.7,23.9,29.4,23.8,动态(中报×2),0.28,0.004,-54.5,-2.4,9.9,9.1,是,,21.2,否,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],113.330
002810,山东赫达,化学制品,1.30,1,88.3,26.0,33.8,30.3,17.0,动态(中报×2),0.34,0.009,20.1,-43.4,-23.0,8.3,是,,46.1,是,是,,是,,泰康资管-农业银行-泰康资产管理有限责任公司周期精选资产管理产品[保险]; 基本养老保险基金一九零四组合[养老],108.270
300502,新易盛,通信设备,1.30,1,91.0,100.3,48.4,41.1,35.7,动态(中报×2),0.45,0.006,2776.5,-4.3,-49.9,11.7,是,,2876.8,否,是,,,,平安资管-招商银行-平安资产开阳5号资产管理产品[保险],100.980
300953,震裕科技,电池,2.50,2,100.3,58.0,14.0,29.8,25.3,动态(中报×2),0.30,0.005,-10.1,18.1,-12.4,9.7,否(经营现金流同比恶化),,47.9,否,,,,,,100.300
688630,芯碁微装,专用设备,1.30,1,98.1,69.0,43.0,132.9,91.0,动态(中报×2),1.35,0.079,193.2,-48.1,-54.2,11.5,是,,262.2,否,,,,,,98.130
