code,name,industry,price,total_mv_yi,profit_cagr_3y,revenue_cagr_3y,np_yoy_latest,roe_ann,ocf_to_np,loss_q_3y,pe_ttm,peg,gross_margin,gross_margin_yoy,rev_yoy_latest,ocf_yoy,drr,drgs,ibr,arr,order_backlog_score,filter_pass,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
688411,海博思创,其他电源设备Ⅱ,185.20,338,75.1,64.1,117.0,16.6,0.55,0,26.7,0.36,19.4,0.7,53.1,1.38,0.050,68.8,274.6,-38.9,25.2,是,,,,,,2.816,总市值338亿≥30 | 净利CAGR3年+75%≥15% | 营收CAGR3年+64%≥10% | 最新期净利同比+117%≥10% | ROE年化16.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.55≥0.4 | PE(TTM)26.7≤80 | PEG 0.36≤1.5
300502,新易盛,通信设备,401.87,5603,119.3,95.8,76.8,58.1,0.81,0,42.7,0.43,49.2,0.5,105.8,0.41,0.007,2771.1,-9.7,-55.3,46.6,是,是,,,,平安资管-招商银行-平安资产开阳5号资产管理产品[保险],2.641,总市值5603亿≥30 | 净利CAGR3年+119%≥15% | 营收CAGR3年+96%≥10% | 最新期净利同比+77%≥10% | ROE年化58.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.81≥0.4 | PE(TTM)42.7≤80 | PEG 0.43≤1.5
002847,盐津铺子,休闲食品,45.05,122,35.4,25.8,29.5,43.9,1.20,0,15.2,0.43,31.8,3.4,2.9,0.99,0.007,-67.5,-27.6,110.6,6.8,是,,是,,,全国社保基金一零二组合[社保]; 全国社保基金四一三组合[社保],2.629,总市值122亿≥30 | 净利CAGR3年+35%≥15% | 营收CAGR3年+26%≥10% | 最新期净利同比+29%≥10% | ROE年化43.9%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.20≥0.4 | PE(TTM)15.2≤80 | PEG 0.43≤1.5
000680,山推股份,工程机械,10.51,158,24.2,13.5,20.8,21.2,0.64,0,12.0,0.49,21.0,1.6,20.1,0.28,0.029,39.5,20.4,-7.5,11.5,是,是,是,,,全国社保基金四零六组合[社保]; 汇添富基金管理股份有限公司-社保基金17022组合[社保]; 全国社保基金一零七组合[社保]; 全国社保基金四一三组合[社保]; 中国太平洋人寿保险股份有限公司-万能-个人万能[保险],2.627,总市值158亿≥30 | 净利CAGR3年+24%≥15% | 营收CAGR3年+14%≥10% | 最新期净利同比+21%≥10% | ROE年化21.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.64≥0.4 | PE(TTM)12.0≤80 | PEG 0.49≤1.5
605499,东鹏饮料,饮料乳品,119.98,881,45.3,34.9,28.3,33.7,1.40,0,18.0,0.40,46.9,2.4,21.5,-0.41,0.234,18.4,-11.8,1.6,18.9,否(经营现金流同比恶化),,,,,,2.521,总市值881亿≥30 | 净利CAGR3年+45%≥15% | 营收CAGR3年+35%≥10% | 最新期净利同比+28%≥10% | ROE年化33.7%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.40≥0.4 | PE(TTM)18.0≤80 | PEG 0.40≤1.5
603699,纽威股份,通用设备,50.94,395,50.9,24.2,31.4,29.1,1.35,0,23.3,0.46,39.2,3.8,16.5,-0.04,0.034,-62.7,-3.1,-6.3,9.2,否(经营现金流同比恶化),,,,是,晋达英国有限公司-晋达环球策略基金-全方位中国股票基金-RQFII[QFII],2.487,总市值395亿≥30 | 净利CAGR3年+51%≥15% | 营收CAGR3年+24%≥10% | 最新期净利同比+31%≥10% | ROE年化29.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.35≥0.4 | PE(TTM)23.3≤80 | PEG 0.46≤1.5
600428,中远海特,航运港口,11.49,315,29.4,23.9,17.5,9.6,3.37,0,13.6,0.46,19.5,0.0,26.0,0.33,0.042,0.4,8.4,9.1,11.0,是,是,,,,博时基金-中国人寿保险股份有限公司-传统险-博时基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险]; 信泰人寿保险股份有限公司-分红产品[保险],2.470,总市值315亿≥30 | 净利CAGR3年+29%≥15% | 营收CAGR3年+24%≥10% | 最新期净利同比+18%≥10% | ROE年化9.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 3.37≥0.4 | PE(TTM)13.6≤80 | PEG 0.46≤1.5
300181,佐力药业,中药Ⅱ,13.65,96,32.3,19.0,10.2,24.4,0.64,0,15.1,0.47,63.8,2.9,8.9,0.22,0.004,-2.4,9.8,10.1,9.3,是,,是,,,全国社保基金四零三组合[社保],2.435,总市值96亿≥30 | 净利CAGR3年+32%≥15% | 营收CAGR3年+19%≥10% | 最新期净利同比+10%≥10% | ROE年化24.4%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.64≥0.4 | PE(TTM)15.1≤80 | PEG 0.47≤1.5
600547,山东黄金,贵金属,37.85,1745,56.0,27.5,40.9,16.8,4.96,0,31.9,0.57,18.3,2.7,25.4,0.76,0.010,19.6,-22.1,-61.2,8.4,是,,是,是,,基本养老保险基金八零二组合[养老]; 全国社保基金一一三组合[社保]; 全国社保基金一一二组合[社保],2.358,总市值1745亿≥30 | 净利CAGR3年+56%≥15% | 营收CAGR3年+28%≥10% | 最新期净利同比+41%≥10% | ROE年化16.8%≥6% | 近3年亏损季度0 | 年报OCF/NP 4.96≥0.4 | PE(TTM)31.9≤80 | PEG 0.57≤1.5
300857,协创数据,消费电子,263.70,1290,107.2,57.2,343.5,62.6,0.94,0,50.2,0.50,22.5,6.6,192.9,3.20,0.010,90.8,-104.4,-143.3,5.4,是,,,,是,高盛国际-自有资金[QFII],2.292,总市值1290亿≥30 | 净利CAGR3年+107%≥15% | 营收CAGR3年+57%≥10% | 最新期净利同比+343%≥10% | ROE年化62.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.94≥0.4 | PE(TTM)50.2≤80 | PEG 0.50≤1.5
