signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-25,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300458,全志科技,半导体,000905,0.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中price[涨价]，加权分0.0（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-26,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000612,焦作万方,工业金属,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]、supply[限产]，加权分2.8。
SIG-20260824-C-27,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301666,大普微,计算机设备,000905,3.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中price[量价齐升,涨价]，加权分3.0。"
SIG-20260824-C-28,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000833,粤桂股份,综合Ⅱ,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-29,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,600176,中国巨石,玻璃玻纤,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,预告文本命中price[量价齐升]，加权分1.5。
SIG-20260824-C-30,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,603893,瑞芯微,半导体,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,预告文本命中price[价格持续上涨]，加权分1.5。
SIG-20260824-C-31,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300322,硕贝德,消费电子,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[价格上涨]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-32,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,603032,德新科技,电池,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-33,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300953,震裕科技,电池,000905,2.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中supply[产能利用率]、demand[需求旺盛]，加权分2.5。
SIG-20260824-C-34,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002810,山东赫达,化学制品,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
