code,name,industry,price,dividend_yield_ttm,dividend_percentile_5y,roe_5y_avg,fcf_coverage,pb,pb_percentile,dividend_years,loss_q_3y,ocf_ps_annual,quality_score,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
600461,洪城环境,环境治理,8.76,5.20,,11.4,1.0,1.16,42.0,5,0,1.49,0.652,是,,,,中国太平洋人寿保险股份有限公司-中国太平洋人寿股票红利型产品(寿自营)委托投资(长江养老)[保险],3.392,股息率5.20%≥3.0% | PB 1.16≤4.0 | ROE年化11.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.49≥0
000429,粤高速A,铁路公路,12.50,4.83,,14.8,1.0,2.47,0.0,5,0,1.70,0.698,是,,,,中国太平洋人寿保险股份有限公司-中国太平洋人寿股票红利型产品(寿自营)委托投资(长江养老)[保险],3.369,股息率4.83%≥3.0% | PB 2.47≤4.0 | ROE年化14.8%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.70≥0
600177,雅戈尔,服装家纺,8.29,5.77,,10.0,1.0,0.93,53.5,5,0,0.27,0.583,,,,,,3.366,股息率5.77%≥3.0% | PB 0.93≤4.0 | ROE年化10.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.27≥0
600036,招商银行,银行Ⅱ,40.69,4.95,,13.4,1.0,0.90,55.0,5,0,17.90,0.679,是,,,,和谐健康保险股份有限公司-传统-普通保险产品[保险],3.361,股息率4.95%≥3.0% | PB 0.90≤4.0 | ROE年化13.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股17.90≥0
603706,东方环宇,燃气Ⅱ,17.12,5.26,,14.0,1.0,1.91,4.5,5,0,1.43,0.636,,,,,,3.347,股息率5.26%≥3.0% | PB 1.91≤4.0 | ROE年化14.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.43≥0
601009,南京银行,银行Ⅱ,11.95,4.43,,14.5,1.0,0.76,62.0,5,0,17.00,0.743,是,,,是,法国巴黎银行(含QFII)[QFII]; 幸福人寿保险股份有限公司-自有[保险]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],3.293,股息率4.43%≥3.0% | PB 0.76≤4.0 | ROE年化14.5%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股17.00≥0
601825,沪农商行,银行Ⅱ,8.70,5.10,,10.8,1.0,0.64,68.0,5,0,-1.18,0.643,是,,,,中国太平洋人寿保险股份有限公司[保险]; 太平人寿保险有限公司[保险],3.282,股息率5.10%≥3.0% | PB 0.64≤4.0 | ROE年化10.8%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-1.18<0（借钱分红嫌疑，请人工复核）
600919,江苏银行,银行Ⅱ,12.26,4.60,,15.7,1.0,0.83,58.5,5,0,30.55,0.710,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],3.264,股息率4.60%≥3.0% | PB 0.83≤4.0 | ROE年化15.7%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股30.55≥0
301109,军信股份,环境治理,12.70,5.02,,11.2,1.0,1.35,32.5,5,0,2.15,0.649,是,,,,广发基金-中国人寿保险股份有限公司-传统险-广发基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险],3.258,股息率5.02%≥3.0% | PB 1.35≤4.0 | ROE年化11.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.15≥0
601997,贵阳银行,银行Ⅱ,5.50,5.45,,7.2,1.0,0.30,85.0,5,0,2.59,0.596,是,,,,中融人寿保险股份有限公司-分红产品[保险],3.248,股息率5.45%≥3.0% | PB 0.30≤4.0 | ROE年化7.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.59≥0
601857,中国石油,炼化及贸易,10.95,4.66,,12.6,1.0,1.26,37.0,5,0,2.25,0.668,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],3.113,股息率4.66%≥3.0% | PB 1.26≤4.0 | ROE年化12.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.25≥0
002563,森马服饰,服装家纺,5.44,5.51,,8.3,1.0,1.33,33.5,5,0,0.64,0.561,,,,,,3.089,股息率5.51%≥3.0% | PB 1.33≤4.0 | ROE年化8.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.64≥0
600901,江苏金租,多元金融,6.79,4.42,,13.3,1.0,1.53,23.5,5,0,-0.17,0.677,是,,,,泰康人寿保险有限责任公司-传统-普通保险产品-019L-CT001沪[保险]; 中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险],2.993,股息率4.42%≥3.0% | PB 1.53≤4.0 | ROE年化13.3%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-0.17<0（借钱分红嫌疑，请人工复核）
600012,皖通高速,铁路公路,15.54,4.25,,15.2,1.0,2.11,0.0,5,0,2.07,0.703,是,,,,中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险]; 中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],2.986,股息率4.25%≥3.0% | PB 2.11≤4.0 | ROE年化15.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.07≥0
002043,兔宝宝,装修建材,11.40,3.74,,14.4,1.0,2.96,0.0,5,0,1.04,0.793,是,是,,是,全国社保基金四一三组合[社保]; 招商银行股份有限公司-工银瑞信可转债债券型证券投资基金[QFII]; 工银瑞信基金-中国人寿保险股份有限公司-传统险-工银瑞信基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险/QFII],2.964,股息率3.74%≥3.0% | PB 2.96≤4.0 | ROE年化14.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.04≥0
601077,渝农商行,银行Ⅱ,6.64,4.83,,12.0,1.0,0.54,73.0,5,0,0.03,0.610,,,,,,2.946,股息率4.83%≥3.0% | PB 0.54≤4.0 | ROE年化12.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.03≥0
002154,报喜鸟,服装家纺,3.84,4.43,,12.3,1.0,1.20,40.0,5,0,0.44,0.664,,是,,,招商基金管理有限公司-社保基金1903组合[社保],2.940,股息率4.43%≥3.0% | PB 1.20≤4.0 | ROE年化12.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.44≥0
601225,陕西煤业,煤炭开采,25.83,3.67,,21.8,1.0,2.48,0.0,5,0,3.64,0.791,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 太平人寿保险有限公司[保险],2.902,股息率3.67%≥3.0% | PB 2.48≤4.0 | ROE年化21.8%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股3.64≥0
600016,民生银行,银行Ⅱ,3.46,4.94,,6.1,1.0,0.26,87.0,5,0,-3.60,0.581,是,,,,大家人寿保险股份有限公司-万能产品[保险]; 大家人寿保险股份有限公司-传统产品[保险],2.868,股息率4.94%≥3.0% | PB 0.26≤4.0 | ROE年化6.1%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-3.60<0（借钱分红嫌疑，请人工复核）
601000,唐山港,航运港口,4.39,4.56,,9.3,1.0,1.22,39.0,5,0,0.32,0.623,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险]; 大家人寿保险股份有限公司-传统产品[保险],2.843,股息率4.56%≥3.0% | PB 1.22≤4.0 | ROE年化9.3%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.32≥0
601916,浙商银行,银行Ⅱ,2.84,4.61,,8.6,1.0,0.43,78.5,5,0,-0.46,0.615,是,,,,信泰人寿保险股份有限公司-自有资金[保险]; 太平人寿保险有限公司[保险]; 民生人寿保险股份有限公司-自有资金[保险],2.835,股息率4.61%≥3.0% | PB 0.43≤4.0 | ROE年化8.6%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-0.46<0（借钱分红嫌疑，请人工复核）
601328,交通银行,银行Ⅱ,7.56,4.29,,8.1,1.0,0.57,71.5,5,0,1.50,0.658,是,,,是,香港上海汇丰银行有限公司[QFII]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],2.822,股息率4.29%≥3.0% | PB 0.57≤4.0 | ROE年化8.1%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.50≥0
000933,神火股份,工业金属,25.72,3.09,,36.8,1.0,2.09,0.0,5,0,3.89,0.900,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 泰康人寿保险有限责任公司-分红-个人分红-019L-FH002深[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险]; 泰康资产红利价值股票型养老金产品-中国工商银行股份有限公司[保险],2.781,股息率3.09%≥3.0% | PB 2.09≤4.0 | ROE年化36.8%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股3.89≥0
